               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19606,           0.0051726,            0.054978,                   0,                   0,                   0,                   0,             0.18282,           0.0051446,            0.053065,              0.0874,              0.0014,              0.0014
                   1,             0.17842,           0.0058311,            0.051669,                   0,                   0,                   0,                   0,             0.16322,           0.0053558,            0.048343,            0.073843,           0.0028426,           0.0028426
                   2,             0.15652,           0.0068568,            0.047116,                   0,                   0,                   0,                   0,             0.15014,           0.0058859,            0.044046,            0.060226,           0.0042258,           0.0042258
                   3,             0.14693,           0.0068584,            0.042056,          4.8704e-05,            0.011364,          2.8663e-05,          2.8663e-06,             0.14578,           0.0061671,            0.041839,             0.04655,           0.0055495,           0.0055495
                   4,             0.14378,           0.0076971,            0.042711,          0.00013987,            0.034091,          0.00011911,          3.2432e-05,             0.14246,           0.0066728,              0.0407,            0.032814,           0.0068139,           0.0068139
                   5,             0.14159,           0.0075134,            0.040525,          0.00085494,             0.13869,            0.002453,          0.00055935,             0.14113,           0.0062225,            0.041026,            0.019019,           0.0080189,           0.0080189
                   6,             0.14149,           0.0072781,            0.040927,           0.0022965,             0.32662,            0.022424,           0.0043343,             0.14048,           0.0063932,             0.04044,            0.008812,            0.008812,            0.008812
                   7,             0.13832,           0.0082344,            0.039722,           0.0025631,             0.40743,            0.043231,           0.0053971,             0.13154,           0.0074366,            0.040032,            0.008812,            0.008812,            0.008812
                   8,              0.1361,            0.008587,            0.040144,            0.037446,             0.14859,            0.052855,            0.015064,             0.13979,           0.0058868,            0.040301,            0.008614,            0.008614,            0.008614
                   9,             0.13378,           0.0088513,            0.039529,            0.017465,             0.12081,             0.02038,           0.0036708,             0.13507,           0.0069733,            0.040033,            0.008416,            0.008416,            0.008416
                  10,             0.12776,           0.0084082,            0.039655,            0.056909,             0.24256,            0.040554,           0.0086015,             0.12838,           0.0078565,            0.038124,            0.008218,            0.008218,            0.008218
                  11,             0.12695,           0.0093447,            0.040401,            0.088044,             0.44385,            0.095032,            0.021265,              0.1218,           0.0085845,            0.037733,             0.00802,             0.00802,             0.00802
                  12,             0.12553,           0.0095888,            0.039942,             0.04832,             0.31758,            0.033901,           0.0080175,             0.12519,           0.0092688,            0.037939,            0.007822,            0.007822,            0.007822
                  13,             0.12387,            0.009516,            0.038083,             0.09246,              0.2815,             0.11044,            0.034599,             0.11581,           0.0095314,            0.038046,            0.007624,            0.007624,            0.007624
                  14,             0.11976,            0.010241,            0.039036,            0.085615,             0.26834,             0.11488,            0.040365,             0.12089,           0.0084469,            0.037921,            0.007426,            0.007426,            0.007426
                  15,             0.11986,           0.0096537,            0.038613,            0.097656,             0.36862,             0.14308,            0.040976,             0.11255,           0.0089782,            0.038007,            0.007228,            0.007228,            0.007228
                  16,             0.11876,           0.0098871,            0.038455,              0.3392,              0.1872,            0.098322,            0.029818,             0.11351,            0.009034,            0.037999,             0.00703,             0.00703,             0.00703
                  17,             0.11674,            0.010324,            0.040271,             0.39479,             0.35726,             0.18748,            0.058914,             0.11641,           0.0081244,            0.038341,            0.006832,            0.006832,            0.006832
                  18,             0.11298,            0.010046,            0.039351,             0.12877,             0.37041,             0.17979,            0.065039,              0.1135,           0.0083865,            0.038189,            0.006634,            0.006634,            0.006634
                  19,             0.10949,            0.010746,            0.039368,             0.11605,             0.34084,             0.16509,             0.05613,             0.10848,           0.0089861,            0.038037,            0.006436,            0.006436,            0.006436
                  20,              0.1113,            0.010693,            0.039104,             0.17672,             0.45335,             0.16938,            0.057171,              0.1034,           0.0095374,            0.037894,            0.006238,            0.006238,            0.006238
                  21,             0.10802,            0.010704,             0.03849,             0.17572,             0.43514,             0.19733,            0.068168,             0.10354,           0.0096326,            0.037391,             0.00604,             0.00604,             0.00604
                  22,             0.10569,            0.011514,            0.038377,              0.2031,             0.46471,             0.21066,            0.079132,            0.099381,            0.010135,            0.037124,            0.005842,            0.005842,            0.005842
                  23,             0.10319,            0.011215,            0.038595,             0.22832,             0.49276,             0.20356,            0.072689,            0.097569,            0.010409,            0.036987,            0.005644,            0.005644,            0.005644
                  24,             0.10368,            0.011406,              0.0382,             0.16595,              0.4222,             0.17744,            0.078235,            0.099574,           0.0096642,            0.036904,            0.005446,            0.005446,            0.005446
                  25,             0.10432,            0.012323,            0.037862,             0.11853,             0.44471,             0.17062,            0.057441,             0.10154,            0.009711,            0.036733,            0.005248,            0.005248,            0.005248
                  26,            0.099668,            0.011313,            0.038934,             0.23418,             0.49249,             0.21499,            0.074531,            0.098658,           0.0094405,            0.036684,             0.00505,             0.00505,             0.00505
                  27,             0.10152,             0.01141,             0.03812,             0.22489,              0.4907,             0.22408,            0.079477,            0.094312,           0.0099489,             0.03682,            0.004852,            0.004852,            0.004852
                  28,            0.096644,             0.01178,            0.038484,             0.25971,             0.50711,             0.24656,            0.082213,             0.09507,           0.0098722,            0.036755,            0.004654,            0.004654,            0.004654
                  29,            0.098947,            0.012334,            0.038359,             0.17818,             0.50133,             0.27922,             0.09826,            0.094803,            0.010002,            0.036918,            0.004456,            0.004456,            0.004456
                  30,            0.097397,            0.011542,            0.037513,              0.2492,              0.4889,             0.25144,            0.084241,            0.093448,           0.0099799,            0.036548,            0.004258,            0.004258,            0.004258
                  31,            0.093765,            0.012484,            0.038162,             0.28908,             0.47574,             0.29123,            0.083046,            0.093447,            0.009917,            0.036342,             0.00406,             0.00406,             0.00406
                  32,            0.090821,            0.012216,            0.037353,             0.29152,              0.4889,             0.29007,             0.08114,            0.090821,            0.010244,            0.036187,            0.003862,            0.003862,            0.003862
                  33,            0.093877,            0.011853,            0.036794,             0.26214,             0.47574,             0.27034,            0.080558,            0.092845,           0.0098946,            0.036007,            0.003664,            0.003664,            0.003664
                  34,            0.093006,            0.011437,            0.037852,             0.29073,             0.51668,             0.30068,            0.084595,            0.089966,            0.010019,            0.035823,            0.003466,            0.003466,            0.003466
                  35,            0.092232,            0.013254,            0.037048,             0.31245,             0.46617,             0.30406,            0.095008,            0.089913,            0.009971,            0.035726,            0.003268,            0.003268,            0.003268
                  36,            0.089605,            0.011832,            0.036895,             0.31327,             0.53272,             0.32591,             0.10504,            0.089174,            0.009895,            0.035619,             0.00307,             0.00307,             0.00307
                  37,            0.091139,            0.012695,            0.036368,             0.29101,             0.52566,             0.32808,             0.10867,            0.089403,            0.010422,            0.035243,            0.002872,            0.002872,            0.002872
                  38,            0.089812,            0.011883,            0.036721,             0.23591,             0.51921,             0.32279,            0.098651,            0.085858,            0.010713,            0.034966,            0.002674,            0.002674,            0.002674
                  39,            0.088374,            0.011385,            0.037295,             0.23536,             0.48265,             0.29476,            0.077846,            0.086769,            0.010545,            0.034746,            0.002476,            0.002476,            0.002476
                  40,             0.08507,            0.011827,            0.037019,             0.26568,             0.50552,             0.31507,             0.11002,              0.0861,             0.01051,            0.034526,            0.002278,            0.002278,            0.002278
                  41,            0.084597,            0.012609,            0.036653,             0.27322,             0.58792,             0.31577,             0.10327,            0.084976,            0.010178,             0.03427,             0.00208,             0.00208,             0.00208
                  42,            0.081854,            0.012687,            0.036527,             0.26218,             0.54878,             0.29791,            0.096917,            0.083105,            0.010445,            0.034078,            0.001882,            0.001882,            0.001882
                  43,            0.082108,             0.01175,            0.035649,             0.29294,             0.51847,             0.32113,             0.11115,            0.083177,            0.010336,            0.033902,            0.001684,            0.001684,            0.001684
                  44,            0.084659,            0.012459,             0.03605,             0.31371,             0.54878,             0.31855,             0.10116,            0.083114,            0.010264,            0.033789,            0.001486,            0.001486,            0.001486
                  45,            0.082361,            0.013374,            0.036533,             0.31862,             0.50711,             0.32785,             0.10791,            0.082398,            0.010317,             0.03374,            0.001288,            0.001288,            0.001288
                  46,            0.080802,            0.012082,             0.03703,             0.31306,             0.54878,             0.32899,              0.1036,            0.082977,            0.010132,            0.033706,             0.00109,             0.00109,             0.00109
                  47,            0.080748,            0.012503,            0.035434,             0.29687,             0.53562,             0.31326,            0.099816,            0.082693,            0.010306,            0.033631,            0.000892,            0.000892,            0.000892
                  48,            0.080748,            0.013339,            0.035539,             0.32138,             0.56014,             0.33134,             0.10883,            0.081598,            0.010205,            0.033681,            0.000694,            0.000694,            0.000694
                  49,            0.080702,            0.012828,            0.035685,             0.33302,              0.6139,             0.32611,             0.10282,            0.081629,            0.010175,            0.033737,            0.000496,            0.000496,            0.000496
